Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
CAPITAL,CORDOBA,1498060.0,3493,651
CAPITAL,TUCUMAN,587289.0,3493,475
CAPITAL,SALTA,624003.0,3493,474
CAPITAL,MENDOZA,123715.0,3493,455
CAPITAL,SAN JUAN,114849.0,3493,393
CAPITAL,MISIONES,391498.0,3493,386
CAPITAL,CORRIENTES,437446.0,3493,364
CAPITAL,SANTIAGO DEL ESTERO,328824.0,3493,328
CAPITAL,CATAMARCA,186466.0,3493,296
CAPITAL,LA RIOJA,210507.0,3493,296
CAPITAL,LA PAMPA,118504.0,3493,285
LA MATANZA,BUENOS AIRES,1837168.0,977,570
ROSARIO,SANTA FE,1337958.0,817,703
LA PLATA,BUENOS AIRES,756074.0,669,506
SAN FERNANDO,CHACO,413764.0,626,405
SAN FERNANDO,BUENOS AIRES,171099.0,626,359
LOMAS DE ZAMORA,BUENOS AIRES,685644.0,548,468
GENERAL PUEYRREDON,BUENOS AIRES,660569.0,535,596
GENERAL SAN MARTIN,BUENOS AIRES,444503.0,519,512
GENERAL SAN MARTIN,CORDOBA,152397.0,519,366
GENERAL SAN MARTIN,LA RIOJA,5017.0,519,3
ALMIRANTE BROWN,BUENOS AIRES,583209.0,514,406
ALMIRANTE BROWN,CHACO,37794.0,514,53
MORENO,BUENOS AIRES,575758.0,472,374
MORENO,SANTIAGO DEL ESTERO,40352.0,472,64
QUILMES,BUENOS AIRES,631774.0,464,485
LA CAPITAL,SANTA FE,568259.0,463,467
GENERAL ROCA,RIO NEGRO,379627.0,453,436
GENERAL ROCA,CORDOBA,36064.0,453,102
SAN JUSTO,CORDOBA,228951.0,444,406
SAN JUSTO,SANTA FE,46486.0,444,139
AVELLANEDA,BUENOS AIRES,366117.0,442,496
AVELLANEDA,RIO NEGRO,41160.0,442,124
AVELLANEDA,SANTIAGO DEL ESTERO,25462.0,442,19
PARANA,ENTRE RIOS,388716.0,439,440
COLON,CORDOBA,294511.0,388,372
COLON,ENTRE RIOS,74890.0,388,195
COLON,BUENOS AIRES,27406.0,388,124
