Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
LA MATANZA,BUENOS AIRES,325.0,333.0,335.0,20.0,157034.0,225872.0,151594.0,1302668.0
RIVADAVIA,BUENOS AIRES,204.0,206.0,58.0,12.0,1734.0,2317.0,1602.0,14082.0
MORENO,BUENOS AIRES,164.0,206.0,160.0,12.0,50791.0,76357.0,50667.0,397943.0
LA PLATA,BUENOS AIRES,232.0,199.0,206.0,48.0,52075.0,77998.0,54517.0,571484.0
ALMIRANTE BROWN,BUENOS AIRES,168.0,199.0,159.0,12.0,43762.0,67913.0,48665.0,422869.0
GENERAL SAN MARTIN,BUENOS AIRES,194.0,199.0,146.0,30.0,28038.0,44539.0,32905.0,339021.0
SAN FERNANDO,BUENOS AIRES,234.0,195.0,154.0,64.0,11498.0,17900.0,12803.0,128898.0
25 DE MAYO,BUENOS AIRES,140.0,191.0,88.0,11.0,2706.0,3733.0,2761.0,26211.0
LOMAS DE ZAMORA,BUENOS AIRES,162.0,178.0,191.0,28.0,50825.0,76967.0,54431.0,503421.0
AVELLANEDA,BUENOS AIRES,174.0,174.0,118.0,23.0,22784.0,37082.0,26833.0,279418.0
9 DE JULIO,BUENOS AIRES,134.0,171.0,54.0,6.0,3963.0,5830.0,4170.0,38403.0
GENERAL PUEYRREDON,BUENOS AIRES,178.0,169.0,170.0,35.0,41427.0,62565.0,47412.0,509165.0
COLON,BUENOS AIRES,164.0,166.0,100.0,16.0,2014.0,2851.0,2149.0,20392.0
SAN PEDRO,BUENOS AIRES,123.0,162.0,85.0,13.0,5781.0,8283.0,5908.0,48381.0
QUILMES,BUENOS AIRES,162.0,146.0,153.0,14.0,47353.0,70881.0,50346.0,463194.0
MAIPU,BUENOS AIRES,118.0,138.0,49.0,14.0,861.0,1234.0,844.0,8314.0
MERLO,BUENOS AIRES,110.0,120.0,124.0,13.0,48007.0,71541.0,49991.0,411945.0
LANUS,BUENOS AIRES,120.0,116.0,114.0,13.0,28133.0,44506.0,33067.0,354375.0
TIGRE,BUENOS AIRES,124.0,111.0,109.0,5.0,32611.0,51961.0,37885.0,323834.0
PILAR,BUENOS AIRES,105.0,109.0,102.0,11.0,34493.0,49944.0,34708.0,274469.0
SAN MIGUEL,BUENOS AIRES,102.0,109.0,102.0,15.0,24752.0,37035.0,25528.0,240335.0
JUNIN,BUENOS AIRES,102.0,105.0,82.0,14.0,7543.0,10433.0,7346.0,75642.0
FLORENCIO VARELA,BUENOS AIRES,98.0,98.0,102.0,6.0,44663.0,64455.0,43778.0,335207.0
CHACABUCO,BUENOS AIRES,71.0,96.0,55.0,10.0,3518.0,5344.0,4011.0,39536.0
BAHIA BLANCA,BUENOS AIRES,95.0,94.0,81.0,21.0,22621.0,33944.0,23373.0,254567.0
BERAZATEGUI,BUENOS AIRES,101.0,92.0,96.0,9.0,25806.0,41462.0,29661.0,261399.0
MORON,BUENOS AIRES,102.0,90.0,86.0,17.0,18044.0,28780.0,22137.0,260556.0
SAN ISIDRO,BUENOS AIRES,97.0,90.0,88.0,14.0,17057.0,26323.0,20726.0,231872.0
TRES DE FEBRERO,BUENOS AIRES,108.0,87.0,82.0,9.0,21166.0,33616.0,24896.0,282641.0
GENERAL ALVEAR,BUENOS AIRES,81.0,81.0,22.0,8.0,758.0,1137.0,762.0,7493.0
MALVINAS ARGENTINAS,BUENOS AIRES,78.0,81.0,86.0,2.0,25943.0,40319.0,29110.0,254029.0
AYACUCHO,BUENOS AIRES,35.0,80.0,49.0,4.0,1699.0,2442.0,1826.0,15790.0
MERCEDES,BUENOS AIRES,76.0,80.0,39.0,9.0,5457.0,7882.0,5579.0,52084.0
LEANDRO N. ALEM,BUENOS AIRES,67.0,80.0,46.0,7.0,1361.0,1838.0,1419.0,12535.0
ITUZAINGO,BUENOS AIRES,79.0,79.0,63.0,13.0,10707.0,17692.0,13340.0,136244.0
PELLEGRINI,BUENOS AIRES,57.0,78.0,43.0,2.0,662.0,831.0,509.0,5110.0
VICENTE LOPEZ,BUENOS AIRES,106.0,76.0,69.0,14.0,14893.0,22610.0,17663.0,225375.0
ESCOBAR,BUENOS AIRES,76.0,75.0,76.0,6.0,21900.0,31983.0,21525.0,180663.0
OLAVARRIA,BUENOS AIRES,59.0,73.0,42.0,10.0,8554.0,13055.0,9550.0,90852.0
ESTEBAN ECHEVERRIA,BUENOS AIRES,71.0,71.0,72.0,2.0,27670.0,41112.0,28521.0,240577.0
JOSE C. PAZ,BUENOS AIRES,55.0,62.0,62.0,3.0,29597.0,42316.0,28541.0,226073.0
TANDIL,BUENOS AIRES,62.0,60.0,40.0,12.0,9785.0,14723.0,10558.0,109612.0
ADOLFO ALSINA,BUENOS AIRES,58.0,58.0,33.0,13.0,1292.0,1697.0,1228.0,13127.0
GENERAL PAZ,BUENOS AIRES,44.0,57.0,18.0,6.0,1095.0,1705.0,1178.0,10163.0
PERGAMINO,BUENOS AIRES,54.0,56.0,39.0,6.0,8676.0,12264.0,8779.0,85269.0
SAN NICOLAS,BUENOS AIRES,51.0,56.0,50.0,12.0,12727.0,17845.0,12797.0,123288.0
AZUL,BUENOS AIRES,37.0,55.0,27.0,7.0,5390.0,8219.0,5913.0,55630.0
NECOCHEA,BUENOS AIRES,43.0,51.0,36.0,5.0,6914.0,10545.0,7794.0,76230.0
CHIVILCOY,BUENOS AIRES,34.0,50.0,22.0,5.0,4906.0,7181.0,5438.0,53029.0
GENERAL BELGRANO,BUENOS AIRES,33.0,49.0,28.0,6.0,1618.0,2272.0,1591.0,15193.0
LUJAN,BUENOS AIRES,53.0,49.0,37.0,8.0,8352.0,12341.0,8627.0,80791.0
CORONEL PRINGLES,BUENOS AIRES,31.0,47.0,37.0,1.0,1890.0,2791.0,1820.0,17609.0
HURLINGHAM,BUENOS AIRES,47.0,46.0,48.0,5.0,11620.0,18866.0,13912.0,140963.0
TRENQUE LAUQUEN,BUENOS AIRES,41.0,46.0,17.0,2.0,4016.0,5326.0,3791.0,35995.0
ZARATE,BUENOS AIRES,45.0,45.0,37.0,6.0,9976.0,15431.0,11143.0,94865.0
