Departamento,provincia,Clae3,Empleados
LINCOLN,BUENOS AIRES,105,272.0
LOBERIA,BUENOS AIRES,014,217.0
LOBOS,BUENOS AIRES,492,12.0
LOMAS DE ZAMORA,BUENOS AIRES,104,180.0
LOMAS DE ZAMORA,BUENOS AIRES,152,181.0
LOMAS DE ZAMORA,BUENOS AIRES,202,204.0
LOMAS DE ZAMORA,BUENOS AIRES,259,33.0
LOMAS DE ZAMORA,BUENOS AIRES,293,18.0
LOMAS DE ZAMORA,BUENOS AIRES,352,155.0
LOMAS DE ZAMORA,BUENOS AIRES,464,76.0
LOMAS DE ZAMORA,BUENOS AIRES,475,32.0
LOMAS DE ZAMORA,BUENOS AIRES,477,654.0
LOMAS DE ZAMORA,BUENOS AIRES,477,59.0
LOMAS DE ZAMORA,BUENOS AIRES,477,16.0
LOMAS DE ZAMORA,BUENOS AIRES,477,156.0
LOMAS DE ZAMORA,BUENOS AIRES,492,46.0
LOMAS DE ZAMORA,BUENOS AIRES,521,43.0
LOMAS DE ZAMORA,BUENOS AIRES,562,237.0
LOMAS DE ZAMORA,BUENOS AIRES,562,81.0
LOMAS DE ZAMORA,BUENOS AIRES,649,143.0
LOMAS DE ZAMORA,BUENOS AIRES,692,157.0
LOMAS DE ZAMORA,BUENOS AIRES,702,76.0
LOMAS DE ZAMORA,BUENOS AIRES,939,79.0
LUJAN,BUENOS AIRES,463,83.0
LUJAN,BUENOS AIRES,477,32.0
LUJAN,BUENOS AIRES,712,39.0
LUJAN,BUENOS AIRES,920,148.0
MALVINAS ARGENTINAS,BUENOS AIRES,271,104.0
MALVINAS ARGENTINAS,BUENOS AIRES,293,1595.0
MALVINAS ARGENTINAS,BUENOS AIRES,472,33.0
MALVINAS ARGENTINAS,BUENOS AIRES,477,40.0
MALVINAS ARGENTINAS,BUENOS AIRES,920,47.0
MARCOS PAZ,BUENOS AIRES,475,12.0
MERCEDES,BUENOS AIRES,472,53.0
MERCEDES,BUENOS AIRES,530,86.0
MERLO,BUENOS AIRES,463,30.0
MERLO,BUENOS AIRES,471,215.0
MERLO,BUENOS AIRES,476,37.0
MERLO,BUENOS AIRES,477,150.0
MERLO,BUENOS AIRES,477,20.0
MERLO,BUENOS AIRES,492,102.0
MERLO,BUENOS AIRES,691,26.0
MERLO,BUENOS AIRES,702,309.0
MORENO,BUENOS AIRES,869,398.0
MORENO,BUENOS AIRES,870,55.0
MORON,BUENOS AIRES,221,111.0
MORON,BUENOS AIRES,222,1016.0
MORON,BUENOS AIRES,381,367.0
MORON,BUENOS AIRES,451,95.0
MORON,BUENOS AIRES,463,153.0
MORON,BUENOS AIRES,466,216.0
MORON,BUENOS AIRES,466,128.0
MORON,BUENOS AIRES,466,22.0
MORON,BUENOS AIRES,471,146.0
MORON,BUENOS AIRES,477,40.0
MORON,BUENOS AIRES,477,15.0
MORON,BUENOS AIRES,602,48.0
MORON,BUENOS AIRES,773,41.0
MORON,BUENOS AIRES,821,10.0
MORON,BUENOS AIRES,862,109.0
MORON,BUENOS AIRES,870,408.0
MORON,BUENOS AIRES,952,28.0
NECOCHEA,BUENOS AIRES,104,324.0
NECOCHEA,BUENOS AIRES,477,143.0
NECOCHEA,BUENOS AIRES,691,31.0
9 DE JULIO,BUENOS AIRES,282,145.0
9 DE JULIO,BUENOS AIRES,451,21.0
OLAVARRIA,BUENOS AIRES,351,35.0
OLAVARRIA,BUENOS AIRES,453,7.0
OLAVARRIA,BUENOS AIRES,492,478.0
OLAVARRIA,BUENOS AIRES,773,11.0
PERGAMINO,BUENOS AIRES,016,15.0
PERGAMINO,BUENOS AIRES,251,133.0
PERGAMINO,BUENOS AIRES,310,178.0
PERGAMINO,BUENOS AIRES,475,25.0
PILAR,BUENOS AIRES,101,289.0
PILAR,BUENOS AIRES,104,221.0
PILAR,BUENOS AIRES,106,110.0
PILAR,BUENOS AIRES,131,217.0
PILAR,BUENOS AIRES,152,144.0
PILAR,BUENOS AIRES,201,327.0
PILAR,BUENOS AIRES,239,425.0
PILAR,BUENOS AIRES,239,701.0
PILAR,BUENOS AIRES,272,277.0
PILAR,BUENOS AIRES,410,679.0
PILAR,BUENOS AIRES,461,9.0
PILAR,BUENOS AIRES,474,55.0
PILAR,BUENOS AIRES,475,40.0
PILAR,BUENOS AIRES,476,39.0
PILAR,BUENOS AIRES,477,15.0
PILAR,BUENOS AIRES,551,755.0
PILAR,BUENOS AIRES,702,53.0
PILAR,BUENOS AIRES,812,459.0
PILAR,BUENOS AIRES,869,73.0
PILAR,BUENOS AIRES,870,186.0
PINAMAR,BUENOS AIRES,551,30.0
PUAN,BUENOS AIRES,461,199.0
QUILMES,BUENOS AIRES,149,29.0
QUILMES,BUENOS AIRES,239,63.0
QUILMES,BUENOS AIRES,452,19.0
QUILMES,BUENOS AIRES,463,33.0
QUILMES,BUENOS AIRES,463,169.0
QUILMES,BUENOS AIRES,465,51.0
QUILMES,BUENOS AIRES,466,43.0
QUILMES,BUENOS AIRES,466,31.0
QUILMES,BUENOS AIRES,475,22.0
QUILMES,BUENOS AIRES,475,10.0
QUILMES,BUENOS AIRES,475,215.0
QUILMES,BUENOS AIRES,475,23.0
QUILMES,BUENOS AIRES,476,52.0
QUILMES,BUENOS AIRES,476,93.0
QUILMES,BUENOS AIRES,477,28.0
QUILMES,BUENOS AIRES,492,1600.0
QUILMES,BUENOS AIRES,521,181.0
QUILMES,BUENOS AIRES,522,48.0
QUILMES,BUENOS AIRES,562,18.0
QUILMES,BUENOS AIRES,682,68.0
QUILMES,BUENOS AIRES,691,62.0
QUILMES,BUENOS AIRES,812,126.0
QUILMES,BUENOS AIRES,931,344.0
QUILMES,BUENOS AIRES,942,593.0
RAMALLO,BUENOS AIRES,191,22.0
