Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Capital,Córdoba,1498060.0,1400,740
Rosario,Santa Fe,1337958.0,1248,778
La Matanza,Buenos Aires,1837168.0,1186,666
La Plata,Buenos Aires,756074.0,832,621
San Fernando,Chaco,413764.0,810,535
La Capital,Santa Fe,568259.0,728,585
General Pueyrredón,Buenos Aires,660569.0,664,688
Lomas de Zamora,Buenos Aires,685644.0,647,552
Paraná,Entre Ríos,388716.0,591,553
Capital,Tucumán,587289.0,586,593
General Roca,Río Negro,379627.0,548,534
Quilmes,Buenos Aires,631774.0,542,586
Almirante Brown,Buenos Aires,583209.0,489,487
Confluencia,Neuquén,467217.0,452,566
Capital,Misiones,391498.0,445,506
San Justo,Córdoba,228951.0,434,497
Lanús,Buenos Aires,460081.0,428,570
Moreno,Buenos Aires,575758.0,428,471
Merlo,Buenos Aires,581484.0,426,407
General Güemes,Chaco,68429.0,425,123
Río Cuarto,Córdoba,277979.0,401,540
Tigre,Buenos Aires,446291.0,394,585
Capital,Salta,624003.0,388,574
Capital,Corrientes,437446.0,384,487
General Obligado,Santa Fe,197533.0,377,402
Patiño,Formosa,81600.0,376,109
Avellaneda,Buenos Aires,366117.0,367,589
General San Martín,Buenos Aires,444503.0,364,600
Bahía Blanca,Buenos Aires,334505.0,360,593
Morón,Buenos Aires,329517.0,357,553
Capital,Santiago del Estero,328824.0,351,455
San Rafael,Mendoza,213204.0,345,457
Formosa,Formosa,268572.0,344,354
Florencio Varela,Buenos Aires,488103.0,343,374
General López,Santa Fe,200455.0,342,482
Pilar,Buenos Aires,393614.0,339,564
Berazategui,Buenos Aires,358328.0,335,433
San Isidro,Buenos Aires,295978.0,327,650
Tres de Febrero,Buenos Aires,362319.0,316,577
Dr. Manuel Belgrano,Jujuy,319469.0,316,418
Castellanos,Santa Fe,189464.0,311,469
Colón,Córdoba,294511.0,306,498
Guaymallén,Mendoza,320871.0,304,534
San Miguel,Buenos Aires,327650.0,302,425
Oberá,Misiones,120703.0,297,293
Vicente López,Buenos Aires,280541.0,284,644
Comuna 1,Ciudad Autónoma de Buenos Aires,221001.0,278,846
Capital,Mendoza,123715.0,277,559
Comuna 4,Ciudad Autónoma de Buenos Aires,227024.0,275,642
Pirané,Formosa,72560.0,267,116
Banda,Santiago del Estero,170401.0,262,270
Malvinas Argentinas,Buenos Aires,349401.0,255,464
Gualeguaychú,Entre Ríos,125176.0,251,404
Guaraní,Misiones,77075.0,250,156
Escobar,Buenos Aires,256071.0,249,454
Esteban Echeverría,Buenos Aires,337880.0,247,448
Punilla,Córdoba,219494.0,245,446
Unión,Córdoba,113635.0,245,341
Capital,San Juan,114849.0,241,508
Las Colonias,Santa Fe,114730.0,241,381
Capital,La Rioja,210507.0,234,378
Godoy Cruz,Mendoza,194557.0,232,458
Bariloche,Río Negro,161443.0,230,443
Cruz Alta,Tucumán,227688.0,225,255
Libertador General San Martín,Chaco,65304.0,224,94
Las Heras,Mendoza,233839.0,222,325
Olavarría,Buenos Aires,122011.0,221,380
Comuna 8,Ciudad Autónoma de Buenos Aires,203888.0,219,402
Concordia,Entre Ríos,197603.0,217,397
Juan Martín de Pueyrredón,San Luis,260769.0,216,461
Escalante,Chubut,214829.0,215,454
Maipú,Mendoza,218887.0,215,430
Comandante Fernández,Chaco,101086.0,215,293
Comuna 3,Ciudad Autónoma de Buenos Aires,193537.0,214,598
Cainguás,Misiones,59875.0,213,188
Pilcomayo,Formosa,94116.0,213,156
San Nicolás,Buenos Aires,166657.0,212,397
San Cristóbal,Santa Fe,72593.0,210,228
Tandil,Buenos Aires,144678.0,209,472
Marcos Juárez,Córdoba,107286.0,207,368
San Lorenzo,Santa Fe,193786.0,206,453
General San Martín,Córdoba,152397.0,205,476
Uruguay,Entre Ríos,115516.0,204,338
Rawson,Chubut,144420.0,203,398
San Ignacio,Misiones,63194.0,199,141
Capital,La Pampa,118504.0,198,388
José C. Paz,Buenos Aires,326527.0,198,302
