provincia,jardines,primarias,secundarias,SNU
Buenos Aires,41.02962962962963,43.56296296296296,34.592592592592595,4.681481481481481
Catamarca,20.375,28.0625,14.625,2.125
Chaco,31.04,47.16,16.6,7.12
Chubut,19.0,16.2,12.2,3.2666666666666666
Ciudad Autónoma de Buenos Aires,60.0,59.53333333333333,33.333333333333336,17.266666666666666
Corrientes,33.44,36.2,13.6,4.12
Córdoba,73.96153846153847,79.38461538461539,40.42307692307692,9.76923076923077
Entre Ríos,69.23529411764706,74.47058823529412,33.64705882352941,5.882352941176471
Formosa,53.44444444444444,64.55555555555556,37.44444444444444,5.444444444444445
Jujuy,27.3125,26.4375,15.5625,3.75
La Pampa,9.136363636363637,8.863636363636363,7.409090909090909,0.9545454545454546
La Rioja,16.444444444444443,20.27777777777778,11.5,2.111111111111111
Mendoza,62.72222222222222,48.55555555555556,22.555555555555557,6.222222222222222
Misiones,61.64705882352941,72.58823529411765,36.76470588235294,7.235294117647059
Neuquén,19.5,23.5,9.8125,3.1875
Río Negro,28.692307692307693,30.307692307692307,16.76923076923077,5.153846153846154
Salta,37.17391304347826,36.130434782608695,15.173913043478262,4.478260869565218
San Juan,20.105263157894736,22.105263157894736,15.157894736842104,2.1052631578947367
San Luis,27.0,40.888888888888886,42.111111111111114,2.111111111111111
Santa Cruz,13.857142857142858,16.857142857142858,12.428571428571429,1.4285714285714286
Santa Fe,85.10526315789474,91.3157894736842,48.94736842105263,12.368421052631579
Santiago del Estero,38.25925925925926,46.55555555555556,24.51851851851852,2.5925925925925926
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",26.0,31.0,23.5,7.0
Tucumán,49.470588235294116,44.64705882352941,35.0,5.588235294117647
