provincia,EmpleadosTotales
Buenos Aires,2108119.0
Ciudad Autónoma de Buenos Aires,1596397.0
Santa Fe,543358.0
Córdoba,537565.0
Mendoza,252202.0
Tucumán,178863.0
Entre Ríos,141767.0
Neuquén,126837.0
Salta,119944.0
Río Negro,115372.0
Misiones,111105.0
Chubut,100217.0
Chaco,87672.0
San Juan,86824.0
Corrientes,81033.0
Jujuy,62476.0
Santa Cruz,60009.0
San Luis,57169.0
Santiago del Estero,55944.0
La Pampa,40787.0
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38003.0
Catamarca,34191.0
La Rioja,32613.0
Formosa,26982.0
