provincia,Clae3,sum(empleados)
Buenos Aires,851,128711.0
Buenos Aires,492,90689.0
Buenos Aires,561,50099.0
Buenos Aires,477,48451.0
Buenos Aires,471,48027.0
Buenos Aires,949,44154.0
Buenos Aires,801,40106.0
Buenos Aires,410,38186.0
Buenos Aires,107,35643.0
Buenos Aires,222,32588.0
Buenos Aires,475,31188.0
Buenos Aires,259,31073.0
Buenos Aires,463,29500.0
Buenos Aires,101,28478.0
Buenos Aires,202,27214.0
Buenos Aires,472,26749.0
Buenos Aires,780,25947.0
Buenos Aires,812,25815.0
Buenos Aires,869,25275.0
Buenos Aires,861,24425.0
Buenos Aires,014,24300.0
Buenos Aires,464,18961.0
Buenos Aires,291,18757.0
Buenos Aires,293,18199.0
Buenos Aires,011,17707.0
Buenos Aires,110,17060.0
Buenos Aires,473,16915.0
Buenos Aires,210,16895.0
Buenos Aires,491,16892.0
Buenos Aires,829,16782.0
Buenos Aires,170,16033.0
Buenos Aires,466,15409.0
Buenos Aires,239,14914.0
Buenos Aires,852,14640.0
Buenos Aires,422,14429.0
Buenos Aires,523,13635.0
Buenos Aires,863,13541.0
Buenos Aires,241,13431.0
Buenos Aires,351,13154.0
Buenos Aires,139,13147.0
Buenos Aires,461,12382.0
Buenos Aires,451,12135.0
Buenos Aires,432,11902.0
Buenos Aires,251,11569.0
Buenos Aires,453,11551.0
Buenos Aires,931,11397.0
Buenos Aires,853,11144.0
Buenos Aires,465,10912.0
Buenos Aires,429,10663.0
Buenos Aires,562,10598.0
Buenos Aires,141,10468.0
Buenos Aires,421,10455.0
Buenos Aires,920,10147.0
Buenos Aires,942,9999.0
Buenos Aires,651,9871.0
Buenos Aires,381,9806.0
Buenos Aires,551,9721.0
Buenos Aires,524,9542.0
Buenos Aires,131,9035.0
Buenos Aires,282,8996.0
Buenos Aires,105,8848.0
Buenos Aires,152,8652.0
Buenos Aires,221,8552.0
Buenos Aires,620,8455.0
Buenos Aires,310,8323.0
Buenos Aires,870,8294.0
Buenos Aires,530,8290.0
Buenos Aires,469,8278.0
Buenos Aires,281,8020.0
Buenos Aires,711,7948.0
Buenos Aires,602,7411.0
Buenos Aires,201,7315.0
Buenos Aires,960,6920.0
Buenos Aires,854,6874.0
Buenos Aires,013,6530.0
Buenos Aires,476,6487.0
Buenos Aires,681,6440.0
Buenos Aires,181,6147.0
Buenos Aires,439,6130.0
Buenos Aires,452,5931.0
Buenos Aires,106,5878.0
Buenos Aires,611,5512.0
Buenos Aires,360,5463.0
Buenos Aires,301,5391.0
Buenos Aires,329,5224.0
Buenos Aires,162,5164.0
Buenos Aires,641,5051.0
Buenos Aires,702,4931.0
Buenos Aires,275,4852.0
Buenos Aires,102,4732.0
Buenos Aires,431,4687.0
Buenos Aires,104,4634.0
Buenos Aires,231,4481.0
Buenos Aires,522,4363.0
Buenos Aires,243,4264.0
Buenos Aires,841,4212.0
Buenos Aires,151,4146.0
Buenos Aires,862,4114.0
Buenos Aires,331,3873.0
Buenos Aires,271,3773.0
Buenos Aires,016,3728.0
Buenos Aires,031,3644.0
Buenos Aires,511,3561.0
Buenos Aires,108,3428.0
Buenos Aires,682,3386.0
Buenos Aires,692,3106.0
Buenos Aires,649,3089.0
Buenos Aires,061,3068.0
Buenos Aires,462,2796.0
Buenos Aires,279,2736.0
Buenos Aires,939,2733.0
Buenos Aires,433,2674.0
Buenos Aires,822,2667.0
Buenos Aires,591,2650.0
Buenos Aires,521,2647.0
Buenos Aires,691,2608.0
Buenos Aires,581,2600.0
Buenos Aires,103,2473.0
Buenos Aires,273,2358.0
Buenos Aires,120,2240.0
Buenos Aires,454,2148.0
Buenos Aires,662,2140.0
Buenos Aires,192,1978.0
Buenos Aires,143,1963.0
Buenos Aires,081,1953.0
Buenos Aires,749,1909.0
Buenos Aires,864,1888.0
Buenos Aires,721,1835.0
Buenos Aires,941,1797.0
Buenos Aires,791,1797.0
Buenos Aires,292,1789.0
Buenos Aires,242,1767.0
Buenos Aires,731,1726.0
Buenos Aires,773,1696.0
Buenos Aires,474,1653.0
Buenos Aires,382,1603.0
