provincia,departamento,Departamento_id,Cueanexo,Jardin,Primario,Secundario,SNU
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20000100,1,1.0,1,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20000200,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20000300,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20000500,1,1.0,1,
Ciudad Autónoma de Buenos Aires,Comuna 9,2063,20000700,1,1.0,1,
Ciudad Autónoma de Buenos Aires,Comuna 9,2063,20000800,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20000900,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20001000,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20001100,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20001200,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 1,2007,20001500,,,,
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20001700,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 11,2077,20001800,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 3,2021,20001900,,,,
Ciudad Autónoma de Buenos Aires,Comuna 5,2035,20002000,,,,
Ciudad Autónoma de Buenos Aires,Comuna 3,2021,20002100,,,,
Ciudad Autónoma de Buenos Aires,Comuna 9,2063,20002200,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 9,2063,20002300,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 10,2070,20002400,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 10,2070,20002500,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20002600,,,,1
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20002700,1,,,
Ciudad Autónoma de Buenos Aires,Comuna 13,2091,20002800,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20002900,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 2,2014,20003100,1,1.0,1,
Ciudad Autónoma de Buenos Aires,Comuna 1,2007,20003300,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 2,2014,20003400,1,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 1,2007,20003500,1,,,
Ciudad Autónoma de Buenos Aires,Comuna 1,2007,20003600,,,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20003700,1,,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20003701,1,,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20003703,1,,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20003800,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20003900,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 7,2049,20004000,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20004100,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20004200,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 4,2028,20004300,,1.0,,
Ciudad Autónoma de Buenos Aires,Comuna 7,2049,20004400,1,,,
