Clae6,Departamento_id,Empleados,EmpleadasMujeres,Empresas_exportadoras_mujeres
11119,10007,4.0,0.0,0.0
11211,10007,10.0,0.0,0.0
12420,10007,1.0,0.0,0.0
14990,10007,2.0,0.0,0.0
152040,10007,88.0,33.0,0.0
210020,10007,1.0,0.0,0.0
410011,10007,39.0,4.0,0.0
432910,10007,1.0,0.0,0.0
471190,10007,4.0,2.0,0.0
472120,10007,1.0,1.0,0.0
472190,10007,1.0,0.0,0.0
473000,10007,6.0,3.0,0.0
475230,10007,2.0,0.0,0.0
492110,10007,10.0,1.0,0.0
492280,10007,4.0,0.0,0.0
492290,10007,7.0,1.0,0.0
551022,10007,5.0,0.0,0.0
681098,10007,4.0,1.0,0.0
773090,10007,5.0,0.0,0.0
863120,10007,3.0,0.0,0.0
14113,10014,3.0,0.0,0.0
702091,10014,1.0,0.0,0.0
801090,10014,22.0,2.0,0.0
101020,10021,4.0,0.0,0.0
103011,10021,4.0,1.0,0.0
107129,10021,18.0,5.0,0.0
11299,10021,3.0,1.0,0.0
11310,10021,9.0,3.0,0.0
12200,10021,5.0,1.0,2.0
12420,10021,1.0,0.0,0.0
12510,10021,1.0,0.0,0.0
12600,10021,3.0,0.0,0.0
14113,10021,1.0,0.0,0.0
16130,10021,96.0,12.0,0.0
16291,10021,10.0,2.0,0.0
202312,10021,2.0,1.0,0.0
259301,10021,12.0,5.0,0.0
410021,10021,72.0,5.0,0.0
421000,10021,7.0,1.0,0.0
422100,10021,13.0,0.0,0.0
429090,10021,127.0,8.0,0.0
431220,10021,17.0,0.0,0.0
439100,10021,13.0,1.0,0.0
439990,10021,16.0,1.0,0.0
463153,10021,4.0,0.0,0.0
463219,10021,7.0,1.0,0.0
463220,10021,1.0,0.0,0.0
463300,10021,8.0,0.0,0.0
464420,10021,5.0,2.0,0.0
465100,10021,8.0,0.0,0.0
466110,10021,5.0,0.0,0.0
471120,10021,6.0,2.0,0.0
471130,10021,7.0,0.0,0.0
471190,10021,4.0,3.0,0.0
472120,10021,15.0,4.0,0.0
472130,10021,3.0,0.0,0.0
472160,10021,1.0,0.0,0.0
472171,10021,7.0,2.0,0.0
472190,10021,71.0,6.0,0.0
472200,10021,1.0,0.0,0.0
473000,10021,10.0,1.0,0.0
474010,10021,1.0,1.0,0.0
474020,10021,1.0,0.0,0.0
475220,10021,1.0,0.0,0.0
475230,10021,2.0,1.0,0.0
475240,10021,10.0,2.0,0.0
475260,10021,2.0,0.0,0.0
475290,10021,13.0,2.0,0.0
475300,10021,5.0,0.0,0.0
475410,10021,10.0,4.0,0.0
476130,10021,4.0,3.0,0.0
477140,10021,4.0,2.0,0.0
477190,10021,6.0,6.0,0.0
477220,10021,1.0,1.0,0.0
477230,10021,1.0,0.0,0.0
477310,10021,21.0,18.0,0.0
477410,10021,1.0,1.0,0.0
477450,10021,2.0,2.0,0.0
477470,10021,1.0,0.0,0.0
477490,10021,1.0,1.0,0.0
492110,10021,1.0,0.0,0.0
492120,10021,7.0,0.0,0.0
492130,10021,2.0,2.0,0.0
492140,10021,22.0,4.0,0.0
492150,10021,7.0,1.0,0.0
492240,10021,3.0,0.0,0.0
492290,10021,28.0,4.0,0.0
530010,10021,6.0,2.0,2.0
551022,10021,2.0,2.0,0.0
551023,10021,6.0,5.0,0.0
561011,10021,4.0,0.0,0.0
561019,10021,6.0,6.0,0.0
561030,10021,2.0,2.0,0.0
562010,10021,28.0,9.0,0.0
611090,10021,4.0,0.0,0.0
641930,10021,7.0,6.0,0.0
649290,10021,1.0,0.0,0.0
651210,10021,2.0,0.0,0.0
651310,10021,1.0,1.0,0.0
691001,10021,1.0,1.0,0.0
692000,10021,2.0,0.0,0.0
72990,10021,191.0,10.0,2.0
749009,10021,7.0,1.0,0.0
773090,10021,18.0,5.0,0.0
791901,10021,4.0,1.0,0.0
801090,10021,72.0,10.0,0.0
812010,10021,1.0,0.0,0.0
822000,10021,1.0,1.0,0.0
829900,10021,53.0,8.0,0.0
841900,10021,6.0,5.0,0.0
851020,10021,104.0,79.0,0.0
861010,10021,3.0,3.0,0.0
862110,10021,1.0,1.0,0.0
862120,10021,7.0,4.0,0.0
862200,10021,4.0,2.0,0.0
863110,10021,2.0,2.0,0.0
869090,10021,18.0,12.0,0.0
89900,10021,112.0,28.0,2.0
942000,10021,1.0,0.0,0.0
960300,10021,1.0,0.0,0.0
99000,10021,49.0,1.0,3.0
141199,10028,3.0,3.0,0.0
410011,10028,6.0,1.0,0.0
410021,10028,36.0,1.0,0.0
429090,10028,2.0,0.0,0.0
471190,10028,1.0,1.0,0.0
492120,10028,2.0,1.0,0.0
492180,10028,2.0,0.0,0.0
492290,10028,11.0,0.0,0.0
530010,10028,1.0,0.0,0.0
561013,10028,2.0,0.0,0.0
711001,10028,1.0,0.0,0.0
812090,10028,4.0,1.0,0.0
829900,10028,73.0,8.0,0.0
870210,10028,1.0,1.0,0.0
89900,10028,550.0,103.0,5.0
960102,10028,2.0,1.0,0.0
99000,10028,20.0,0.0,0.0
107129,10035,3.0,0.0,0.0
110212,10035,8.0,3.0,0.0
110300,10035,2.0,1.0,0.0
11211,10035,1.0,0.0,0.0
12420,10035,14.0,0.0,0.0
13020,10035,3.0,0.0,0.0
14930,10035,4.0,0.0,0.0
162201,10035,1.0,0.0,0.0
239510,10035,3.0,0.0,0.0
239593,10035,8.0,0.0,0.0
251101,10035,2.0,0.0,0.0
251102,10035,2.0,1.0,0.0
331210,10035,2.0,0.0,0.0
331290,10035,8.0,0.0,0.0
331900,10035,9.0,0.0,0.0
390000,10035,11.0,0.0,0.0
410011,10035,9.0,0.0,0.0
410021,10035,90.0,4.0,2.0
421000,10035,7.0,0.0,0.0
422200,10035,1.0,0.0,0.0
429090,10035,21.0,3.0,0.0
452220,10035,13.0,2.0,0.0
452990,10035,3.0,0.0,0.0
453100,10035,6.0,1.0,0.0
453210,10035,8.0,1.0,0.0
453291,10035,2.0,0.0,0.0
454010,10035,20.0,10.0,0.0
463111,10035,5.0,0.0,0.0
463121,10035,5.0,2.0,0.0
463153,10035,2.0,0.0,0.0
463199,10035,1.0,0.0,0.0
463219,10035,3.0,1.0,0.0
463220,10035,8.0,1.0,0.0
466110,10035,3.0,0.0,0.0
466121,10035,6.0,0.0,0.0
471120,10035,100.0,28.0,0.0
471130,10035,4.0,1.0,0.0
471190,10035,2.0,0.0,0.0
471900,10035,2.0,2.0,0.0
472120,10035,5.0,0.0,0.0
472130,10035,3.0,0.0,0.0
472171,10035,22.0,8.0,0.0
472172,10035,2.0,0.0,0.0
472190,10035,38.0,14.0,0.0
473000,10035,62.0,3.0,0.0
475110,10035,1.0,1.0,0.0
475190,10035,1.0,1.0,0.0
475230,10035,28.0,5.0,0.0
475290,10035,11.0,0.0,0.0
475300,10035,6.0,0.0,0.0
475490,10035,4.0,0.0,0.0
476130,10035,8.0,6.0,0.0
476310,10035,13.0,8.0,0.0
477130,10035,1.0,1.0,0.0
477190,10035,8.0,5.0,0.0
477310,10035,21.0,8.0,0.0
477320,10035,11.0,8.0,0.0
477440,10035,1.0,1.0,0.0
477460,10035,1.0,0.0,0.0
477490,10035,7.0,6.0,0.0
492110,10035,1.0,0.0,0.0
492150,10035,1.0,0.0,0.0
492180,10035,3.0,3.0,0.0
492290,10035,11.0,0.0,0.0
521010,10035,26.0,0.0,0.0
523090,10035,12.0,2.0,0.0
524190,10035,3.0,0.0,0.0
530010,10035,15.0,4.0,4.0
551022,10035,16.0,8.0,0.0
551023,10035,4.0,2.0,0.0
561013,10035,3.0,3.0,0.0
561019,10035,7.0,2.0,0.0
602310,10035,11.0,1.0,0.0
611090,10035,11.0,3.0,0.0
641930,10035,17.0,5.0,0.0
649290,10035,6.0,4.0,0.0
651210,10035,2.0,0.0,0.0
651310,10035,2.0,2.0,0.0
681098,10035,1.0,0.0,0.0
692000,10035,2.0,1.0,0.0
711001,10035,1.0,0.0,0.0
72990,10035,8.0,4.0,4.0
780000,10035,3.0,0.0,0.0
812010,10035,31.0,15.0,0.0
81300,10035,2.0,0.0,0.0
829900,10035,7.0,3.0,0.0
851020,10035,148.0,106.0,0.0
861010,10035,10.0,6.0,0.0
862200,10035,2.0,2.0,0.0
863110,10035,1.0,0.0,0.0
863120,10035,4.0,2.0,0.0
869090,10035,5.0,4.0,0.0
942000,10035,2.0,2.0,0.0
949990,10035,8.0,3.0,0.0
960300,10035,1.0,0.0,0.0
960990,10035,10.0,2.0,0.0
99000,10035,4.0,1.0,2.0
104011,10042,4.0,0.0,0.0
107121,10042,1.0,0.0,0.0
11119,10042,3.0,0.0,0.0
11129,10042,1.0,0.0,0.0
11299,10042,37.0,10.0,0.0
11329,10042,3.0,0.0,0.0
12121,10042,2.0,0.0,0.0
12200,10042,4.0,0.0,0.0
12319,10042,2.0,0.0,0.0
12600,10042,24.0,0.0,0.0
14113,10042,13.0,2.0,0.0
14510,10042,1.0,0.0,0.0
14610,10042,2.0,0.0,0.0
422200,10042,2.0,2.0,0.0
429090,10042,542.0,26.0,0.0
451110,10042,15.0,0.0,0.0
464130,10042,2.0,1.0,0.0
471130,10042,2.0,0.0,0.0
472190,10042,4.0,3.0,0.0
473000,10042,20.0,5.0,0.0
475230,10042,2.0,0.0,0.0
475290,10042,7.0,0.0,0.0
477310,10042,2.0,2.0,0.0
492140,10042,11.0,1.0,0.0
492290,10042,5.0,0.0,0.0
523090,10042,2.0,0.0,0.0
581100,10042,1.0,0.0,0.0
602100,10042,1.0,0.0,0.0
602310,10042,2.0,0.0,0.0
614010,10042,1.0,0.0,0.0
651210,10042,6.0,0.0,0.0
692000,10042,1.0,0.0,0.0
711009,10042,8.0,1.0,0.0
773010,10042,1.0,0.0,0.0
822000,10042,1.0,1.0,0.0
851020,10042,92.0,64.0,0.0
862200,10042,1.0,0.0,0.0
949990,10042,1.0,0.0,0.0
960990,10042,3.0,0.0,0.0
101011,10049,180.0,23.0,0.0
101030,10049,14.0,1.0,0.0
103011,10049,94.0,22.0,0.0
103012,10049,8.0,3.0,0.0
104012,10049,12.0,2.0,0.0
105010,10049,1.0,0.0,0.0
105030,10049,3.0,2.0,0.0
105090,10049,7.0,0.0,0.0
107110,10049,2.0,1.0,0.0
107121,10049,34.0,18.0,1.0
107129,10049,149.0,54.0,0.0
107410,10049,14.0,4.0,0.0
107500,10049,2.0,2.0,0.0
107912,10049,1.0,0.0,0.0
107999,10049,32.0,12.0,0.0
110300,10049,5.0,0.0,0.0
110411,10049,13.0,2.0,0.0
110412,10049,9.0,1.0,0.0
110420,10049,95.0,4.0,2.0
11130,10049,4.0,0.0,0.0
11211,10049,19.0,3.0,0.0
11299,10049,362.0,33.0,5.0
11329,10049,1.0,0.0,0.0
11331,10049,7.0,0.0,0.0
11501,10049,4.0,0.0,0.0
12110,10049,2.0,0.0,0.0
12200,10049,10.0,1.0,0.0
12320,10049,2.0,0.0,0.0
12420,10049,42.0,0.0,0.0
12490,10049,20.0,1.0,0.0
12600,10049,29.0,0.0,0.0
12701,10049,1.0,0.0,0.0
12900,10049,6.0,0.0,0.0
13011,10049,7.0,0.0,0.0
13020,10049,41.0,0.0,0.0
131131,10049,17.0,2.0,2.0
131132,10049,460.0,5.0,2.0
131209,10049,63.0,0.0,0.0
139900,10049,24.0,4.0,0.0
141120,10049,647.0,187.0,4.0
14113,10049,55.0,1.0,0.0
141140,10049,9.0,2.0,0.0
141199,10049,141.0,106.0,4.0
14121,10049,1.0,0.0,0.0
14410,10049,2.0,1.0,0.0
14420,10049,6.0,0.0,0.0
14430,10049,1.0,0.0,0.0
14510,10049,3.0,0.0,0.0
14610,10049,2.0,1.0,0.0
14820,10049,2.0,0.0,0.0
149000,10049,1.0,1.0,0.0
14990,10049,1.0,0.0,0.0
152011,10049,7.0,1.0,0.0
152021,10049,73.0,29.0,2.0
152031,10049,34.0,8.0,2.0
152040,10049,11.0,7.0,0.0
161002,10049,4.0,1.0,0.0
16119,10049,1.0,0.0,0.0
16190,10049,3.0,0.0,0.0
162909,10049,17.0,5.0,0.0
170202,10049,2.0,0.0,0.0
170910,10049,6.0,3.0,0.0
170990,10049,13.0,5.0,0.0
181109,10049,7.0,0.0,0.0
181200,10049,8.0,0.0,0.0
182000,10049,2.0,0.0,0.0
202200,10049,5.0,1.0,0.0
202311,10049,4.0,0.0,0.0
202312,10049,6.0,2.0,2.0
202908,10049,1.0,0.0,0.0
210010,10049,37.0,6.0,10.0
21010,10049,2.0,0.0,0.0
222090,10049,1.0,0.0,0.0
239510,10049,5.0,0.0,0.0
239593,10049,1.0,0.0,0.0
239600,10049,12.0,1.0,0.0
251101,10049,355.0,186.0,0.0
251102,10049,28.0,0.0,0.0
251200,10049,3.0,1.0,0.0
259200,10049,1.0,0.0,0.0
262000,10049,29.0,1.0,0.0
267001,10049,2.0,1.0,0.0
272000,10049,5.0,0.0,0.0
275010,10049,84.0,4.0,2.0
275020,10049,205.0,10.0,2.0
279000,10049,9.0,1.0,0.0
309100,10049,37.0,2.0,0.0
310010,10049,44.0,1.0,0.0
310020,10049,2.0,0.0,0.0
31110,10049,6.0,0.0,0.0
329030,10049,2.0,0.0,0.0
331210,10049,1.0,0.0,0.0
331290,10049,3.0,0.0,0.0
331900,10049,3.0,0.0,0.0
351110,10049,20.0,0.0,0.0
351201,10049,26.0,0.0,0.0
351320,10049,418.0,74.0,0.0
352020,10049,6.0,0.0,0.0
360010,10049,300.0,53.0,0.0
381200,10049,4.0,0.0,0.0
410011,10049,375.0,21.0,0.0
410021,10049,448.0,14.0,0.0
421000,10049,160.0,3.0,1.0
422100,10049,23.0,0.0,0.0
422200,10049,75.0,4.0,0.0
429010,10049,416.0,24.0,0.0
429090,10049,1019.0,39.0,0.0
431210,10049,10.0,0.0,0.0
432190,10049,97.0,2.0,0.0
432910,10049,1.0,0.0,0.0
432990,10049,2.0,0.0,0.0
433010,10049,7.0,0.0,0.0
433040,10049,3.0,1.0,0.0
433090,10049,3.0,0.0,0.0
439100,10049,23.0,1.0,0.0
439990,10049,297.0,13.0,0.0
451110,10049,442.0,113.0,0.0
451210,10049,4.0,0.0,0.0
452101,10049,5.0,0.0,0.0
452220,10049,9.0,1.0,0.0
452300,10049,1.0,0.0,0.0
452401,10049,1.0,0.0,0.0
452500,10049,1.0,0.0,0.0
452600,10049,7.0,3.0,0.0
452800,10049,6.0,0.0,0.0
452910,10049,7.0,2.0,0.0
452990,10049,17.0,1.0,0.0
453100,10049,20.0,1.0,0.0
453210,10049,37.0,6.0,0.0
453220,10049,12.0,1.0,0.0
453291,10049,61.0,9.0,0.0
453292,10049,2.0,0.0,0.0
454010,10049,66.0,19.0,0.0
461013,10049,3.0,3.0,0.0
461029,10049,14.0,2.0,0.0
461032,10049,1.0,0.0,0.0
461039,10049,5.0,4.0,0.0
461040,10049,6.0,0.0,0.0
461099,10049,51.0,19.0,0.0
463111,10049,35.0,2.0,0.0
463112,10049,3.0,0.0,0.0
463121,10049,16.0,0.0,0.0
463129,10049,23.0,1.0,0.0
463140,10049,1.0,0.0,0.0
463160,10049,93.0,7.0,0.0
463170,10049,23.0,1.0,0.0
463180,10049,12.0,1.0,0.0
463199,10049,36.0,8.0,0.0
463219,10049,41.0,4.0,0.0
463220,10049,25.0,4.0,0.0
463300,10049,22.0,1.0,0.0
464113,10049,1.0,1.0,0.0
464149,10049,1.0,1.0,0.0
464150,10049,1.0,1.0,0.0
464221,10049,22.0,1.0,0.0
464223,10049,3.0,1.0,0.0
464310,10049,25.0,9.0,0.0
464320,10049,3.0,3.0,2.0
464330,10049,3.0,1.0,0.0
464340,10049,14.0,4.0,0.0
464410,10049,9.0,4.0,0.0
464620,10049,2.0,0.0,0.0
464940,10049,4.0,0.0,0.0
465100,10049,8.0,1.0,0.0
465210,10049,2.0,1.0,0.0
465220,10049,4.0,1.0,0.0
465330,10049,1.0,0.0,0.0
465400,10049,2.0,0.0,0.0
465610,10049,2.0,1.0,0.0
465930,10049,2.0,0.0,0.0
465990,10049,5.0,2.0,0.0
466200,10049,62.0,12.0,2.0
466320,10049,4.0,0.0,0.0
466330,10049,33.0,7.0,0.0
466340,10049,1.0,0.0,0.0
466360,10049,1.0,0.0,0.0
466399,10049,153.0,8.0,0.0
466920,10049,2.0,0.0,0.0
466931,10049,11.0,1.0,0.0
466940,10049,3.0,0.0,0.0
469090,10049,14.0,3.0,0.0
