Departamento_id,Cue
2028,20000100
2028,20000200
2091,20000300
2091,20000500
2063,20000700
2063,20000800
2028,20000900
2028,20001000
2028,20001100
2028,20001200
2007,20001500
2091,20001700
2077,20001800
2021,20001900
2035,20002000
2021,20002100
2063,20002200
2063,20002300
2070,20002400
2070,20002500
2091,20002600
2091,20002700
2091,20002800
2028,20002900
2014,20003100
2007,20003300
2014,20003400
2007,20003500
2007,20003600
2028,20003700
2028,20003701
2028,20003703
2028,20003800
2028,20003900
2049,20004000
2028,20004100
2028,20004200
2028,20004300
2049,20004400
2014,20004500
2105,20004600
2098,20004700
2105,20004800
2028,20004900
2028,20005000
2105,20005100
2105,20005200
2028,20005300
2077,20005400
2007,20005500
2021,20005600
2028,20005700
2021,20005800
2091,20005801
2028,20006000
2007,20006100
2028,20006200
2007,20006300
2007,20006500
2007,20007000
2007,20007100
2007,20007200
2007,20007300
2070,20007500
2070,20007501
2070,20007502
2028,20007600
2028,20007700
2035,20007800
2063,20007900
2070,20008000
2014,20008200
2084,20008300
2070,20008400
2070,20008500
2070,20008600
2105,20008700
2028,20008900
2056,20009000
2084,20009100
2098,20009500
2014,20009600
2070,20009700
2105,20009800
2084,20009900
2098,20010000
2056,20010200
2056,20010300
2028,20010400
2042,20010500
2035,20010600
2021,20010700
2056,20010800
2063,20011000
2063,20011100
2063,20011200
2063,20011300
2042,20011400
2070,20011500
2084,20011600
2049,20011700
2007,20011800
2028,20011900
2007,20012000
2007,20012100
2098,20012300
2098,20012301
2091,20012400
2098,20012500
2091,20012600
2098,20012700
2098,20012800
2091,20012900
2105,20013000
2028,20013500
2084,20013600
2084,20013800
2049,20013900
2077,20014000
2049,20014100
2077,20014200
2077,20014300
2077,20014400
2077,20014500
2007,20014600
2063,20014700
2028,20015000
2105,20015200
2056,20015300
2028,20015400
2049,20015500
2049,20015700
2035,20015800
2042,20015801
2105,20015900
2105,20016000
2077,20016100
2077,20016200
2077,20016300
2049,20016500
2077,20016600
2077,20016700
2077,20016800
2049,20016900
2049,20017000
2021,20017400
2098,20017500
2070,20017700
2070,20017701
2070,20017702
2070,20017800
2077,20017900
2077,20018100
2063,20018400
2063,20018500
2063,20018600
2063,20018700
2063,20018701
2063,20018702
2098,20018800
2098,20018900
2098,20019000
2049,20019200
2070,20019300
2049,20019400
2070,20019600
2007,20019700
2077,20019800
2077,20019900
2105,20020000
2098,20020100
2105,20020200
2105,20020300
2084,20020600
2084,20020700
2084,20020800
2105,20020900
2098,20021200
2091,20021300
2035,20021400
2077,20021500
2077,20021600
2091,20021700
