Departamento_id,Cantidad_Habitantes,RangoEdad
2007,179737.0,mayores_18
2007,12219.0,rango_0_5
2007,11647.0,rango_13_17
2007,17398.0,rango_6_12
2014,138668.0,mayores_18
2014,6616.0,rango_0_5
2014,6567.0,rango_13_17
2014,8758.0,rango_6_12
2021,160492.0,mayores_18
2021,9218.0,rango_0_5
2021,9970.0,rango_13_17
2021,13857.0,rango_6_12
2028,175092.0,mayores_18
2028,13843.0,rango_0_5
2028,15569.0,rango_13_17
2028,22520.0,rango_6_12
2035,161535.0,mayores_18
2035,8448.0,rango_0_5
2035,9437.0,rango_13_17
2035,13029.0,rango_6_12
2042,168561.0,mayores_18
2042,9182.0,rango_0_5
2042,10132.0,rango_13_17
2042,13889.0,rango_6_12
2049,172542.0,mayores_18
2049,10782.0,rango_0_5
2049,12646.0,rango_13_17
2049,17292.0,rango_6_12
2056,148624.0,mayores_18
2056,14568.0,rango_0_5
2056,16778.0,rango_13_17
2056,23918.0,rango_6_12
2063,133580.0,mayores_18
2063,8573.0,rango_0_5
2063,11224.0,rango_13_17
2063,14531.0,rango_6_12
2070,140187.0,mayores_18
2070,8255.0,rango_0_5
2070,10168.0,rango_13_17
2070,13286.0,rango_6_12
2077,166228.0,mayores_18
2077,9308.0,rango_0_5
2077,11447.0,rango_13_17
2077,14922.0,rango_6_12
2084,194100.0,mayores_18
2084,11942.0,rango_0_5
2084,12112.0,rango_13_17
2084,17210.0,rango_6_12
2091,219265.0,mayores_18
2091,12057.0,rango_0_5
2091,13234.0,rango_13_17
2091,17774.0,rango_6_12
2098,211461.0,mayores_18
2098,10915.0,rango_0_5
2098,10337.0,rango_13_17
2098,14539.0,rango_6_12
2105,161655.0,mayores_18
2105,9388.0,rango_0_5
2105,10154.0,rango_13_17
2105,14068.0,rango_6_12
6007,13127.0,mayores_18
6007,1292.0,rango_0_5
6007,1228.0,rango_13_17
6007,1697.0,rango_6_12
6014,9509.0,mayores_18
6014,950.0,rango_0_5
6014,987.0,rango_13_17
6014,1401.0,rango_6_12
6021,9614.0,mayores_18
6021,904.0,rango_0_5
6021,1010.0,rango_13_17
6021,1378.0,rango_6_12
6028,422869.0,mayores_18
6028,43762.0,rango_0_5
6028,48665.0,rango_13_17
6028,67913.0,rango_6_12
6035,279418.0,mayores_18
6035,22784.0,rango_0_5
6035,26833.0,rango_13_17
6035,37082.0,rango_6_12
6042,15790.0,mayores_18
6042,1699.0,rango_0_5
6042,1826.0,rango_13_17
6042,2442.0,rango_6_12
6049,55630.0,mayores_18
6049,5390.0,rango_0_5
6049,5913.0,rango_13_17
6049,8219.0,rango_6_12
6056,254567.0,mayores_18
6056,22621.0,rango_0_5
6056,23373.0,rango_13_17
6056,33944.0,rango_6_12
6063,36257.0,mayores_18
6063,3638.0,rango_0_5
6063,3551.0,rango_13_17
6063,5070.0,rango_6_12
6070,28429.0,mayores_18
6070,3225.0,rango_0_5
6070,3197.0,rango_13_17
6070,4372.0,rango_6_12
6077,23415.0,mayores_18
6077,2644.0,rango_0_5
6077,2476.0,rango_13_17
6077,3542.0,rango_6_12
6084,15594.0,mayores_18
6084,1608.0,rango_0_5
6084,1706.0,rango_13_17
6084,2277.0,rango_6_12
6091,261399.0,mayores_18
6091,25806.0,rango_0_5
6091,29661.0,rango_13_17
6091,41462.0,rango_6_12
6098,73096.0,mayores_18
6098,7704.0,rango_0_5
6098,8106.0,rango_13_17
6098,11779.0,rango_6_12
6105,27784.0,mayores_18
6105,2830.0,rango_0_5
6105,2723.0,rango_13_17
6105,3857.0,rango_6_12
6112,34481.0,mayores_18
6112,3360.0,rango_0_5
6112,3579.0,rango_13_17
6112,4807.0,rango_6_12
6119,22834.0,mayores_18
6119,2588.0,rango_0_5
6119,2931.0,rango_13_17
6119,3997.0,rango_6_12
6126,78213.0,mayores_18
6126,8120.0,rango_0_5
6126,9056.0,rango_13_17
6126,12587.0,rango_6_12
6134,48475.0,mayores_18
6134,6225.0,rango_0_5
6134,6304.0,rango_13_17
6134,9538.0,rango_6_12
6140,11759.0,mayores_18
6140,1180.0,rango_0_5
6140,1230.0,rango_13_17
6140,1713.0,rango_6_12
6147,16887.0,mayores_18
6147,1731.0,rango_0_5
