Cue,NivelEducativo
20000100,Jardin
20000100,Primario
20000100,Secundario
20000200,Primario
20000300,Jardin
20000300,Primario
20000500,Jardin
20000500,Primario
20000500,Secundario
20000700,Jardin
20000700,Primario
20000700,Secundario
20000800,Primario
20000900,Primario
20001000,Primario
20001100,Primario
20001200,Primario
20001700,Jardin
20001700,Primario
20001800,Primario
20002200,Primario
20002300,Primario
20002400,Primario
20002500,Primario
20002600,SNU
20002700,Jardin
20002800,Jardin
20002800,Primario
20002900,Jardin
20002900,Primario
20003100,Jardin
20003100,Primario
20003100,Secundario
20003300,Jardin
20003300,Primario
20003400,Jardin
20003400,Primario
20003500,Jardin
20003700,Jardin
20003701,Jardin
20003703,Jardin
20003800,Primario
20003900,Primario
20004000,Primario
20004100,Primario
20004200,Primario
20004300,Primario
20004400,Jardin
20004600,Primario
20004700,Jardin
20004700,Primario
20004800,Primario
20004900,Jardin
20004900,Primario
20005000,Primario
20005100,Primario
20005300,Primario
20005400,Jardin
20005400,Primario
20005500,Jardin
20005600,Primario
20005800,Secundario
20005801,Primario
20005801,Secundario
20006300,Primario
20006500,Jardin
20006500,Primario
20007100,Primario
20007200,Jardin
20007200,Primario
20007300,Primario
20007500,Jardin
20007501,Jardin
20007502,Jardin
20007600,Jardin
20007700,Primario
20007800,Secundario
20007900,Secundario
20008200,Jardin
20008200,Primario
20008300,Jardin
20008300,Primario
20008300,Secundario
20008400,Jardin
20008500,Primario
20008600,Primario
20008700,Jardin
20008700,Primario
20008900,Primario
20009000,Primario
20009100,Jardin
20009100,Primario
20009100,Secundario
20009500,Jardin
20009500,Primario
20009500,Secundario
20009700,Jardin
20009800,Jardin
20009800,Primario
20009800,Secundario
20009900,Jardin
20009900,Primario
20010000,Jardin
20010000,Primario
20010000,Secundario
20010200,Jardin
20010200,Primario
20010200,Secundario
20010300,Primario
20010400,Jardin
20010400,Primario
20011000,Primario
20011100,Primario
20011200,Primario
20011300,Primario
20011400,Jardin
20011400,Primario
20011500,Jardin
20011500,Primario
20011500,Secundario
20011600,Jardin
20011600,Primario
20011600,SNU
20011600,Secundario
20011700,Jardin
20011800,Jardin
20011800,Primario
20011800,Secundario
20012000,Primario
20012100,Primario
20012300,Jardin
20012300,Primario
20012300,Secundario
20012301,Secundario
20012500,Primario
20012600,Jardin
20012600,Primario
20012600,Secundario
20012700,Jardin
20012700,Primario
20012700,Secundario
20012800,Primario
20012900,Secundario
20013000,Primario
20013500,Primario
20013600,Primario
20013800,Jardin
20013800,Primario
20013800,Secundario
20013900,Primario
20014000,Primario
20014100,Primario
20014200,Jardin
20014200,Primario
20014200,Secundario
20014300,Secundario
20014400,Jardin
20014500,SNU
20014500,Secundario
20014600,Jardin
20014600,Primario
20015000,Jardin
20015000,Primario
20015000,Secundario
20015200,Secundario
20015300,Primario
20015400,Primario
20015500,Jardin
20015700,Jardin
20015700,Primario
20015800,Jardin
20015801,Jardin
20015900,Secundario
20016000,Primario
20016100,Primario
20016300,Secundario
20016500,Primario
20016600,Primario
20016700,Primario
20016800,Jardin
20016800,Primario
20016900,Primario
20017000,Jardin
20017400,Jardin
20017400,Primario
20017400,Secundario
20017500,SNU
20017700,Jardin
20017701,Jardin
20017702,Jardin
20017800,Jardin
20017800,Primario
20017800,Secundario
20018100,Primario
20018400,Primario
20018500,Primario
20018600,Primario
20018700,Jardin
20018701,Jardin
20018702,Jardin
20018800,Jardin
20018900,Primario
20019000,Jardin
20019000,Primario
20019000,Secundario
20019200,Secundario
20019300,Primario
20019400,Jardin
20019400,Primario
20019600,Primario
20019800,Jardin
20019800,Primario
20019800,Secundario
20019900,Jardin
20019900,Primario
20019900,Secundario
20020100,Jardin
20020100,Primario
20020100,Secundario
20020200,Primario
20020300,Jardin
20020300,Primario
20020300,Secundario
20020600,Jardin
20020600,Primario
20020700,Primario
20020800,Primario
20020900,Jardin
20020900,Primario
20020900,Secundario
20021200,Jardin
20021300,Primario
20021400,Primario
20021500,Primario
20021600,Primario
20021700,Jardin
20021700,Primario
20021700,Secundario
20021800,Jardin
20021800,Primario
20021800,Secundario
20021900,Primario
20022000,Jardin
20022001,Jardin
20022002,Jardin
20022003,Jardin
20022100,Primario
20022300,Jardin
20022300,Primario
20022300,Secundario
20022400,Jardin
20022400,Primario
20022500,Jardin
20022500,Primario
20023000,Primario
20023100,Jardin
20023100,Primario
20023100,Secundario
20023200,SNU
20023300,SNU
20023400,Jardin
20023400,Primario
20023500,Secundario
20023600,Primario
20023700,Primario
20023900,Jardin
20023901,Jardin
20024000,SNU
20024800,Jardin
20024800,Primario
20024800,Secundario
20024900,Jardin
20024902,Jardin
20024903,Jardin
20025000,Primario
20025100,Primario
20025300,Jardin
20025300,Primario
20025300,Secundario
20025400,Jardin
20025400,Primario
20025500,Jardin
20025600,SNU
