Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Capital,Córdoba,1498060.0,1400,1296.0
Rosario,Santa Fe,1337958.0,1248,1425.0
La Matanza,Buenos Aires,1837168.0,1186,864.0
La Plata,Buenos Aires,756074.0,832,233.0
San Fernando,Chaco,413764.0,810,200.0
La Capital,Santa Fe,568259.0,728,337.0
General Pueyrredón,Buenos Aires,660569.0,664,793.0
Lomas de Zamora,Buenos Aires,685644.0,647,329.0
Paraná,Entre Ríos,388716.0,591,275.0
Capital,Tucumán,587289.0,586,286.0
General Roca,Río Negro,379627.0,548,529.0
Quilmes,Buenos Aires,631774.0,542,414.0
Almirante Brown,Buenos Aires,583209.0,489,255.0
Confluencia,Neuquén,467217.0,452,541.0
Capital,Misiones,391498.0,445,168.0
San Justo,Córdoba,228951.0,434,288.0
Lanús,Buenos Aires,460081.0,428,400.0
Moreno,Buenos Aires,575758.0,428,207.0
Merlo,Buenos Aires,581484.0,426,92.0
General Güemes,Chaco,68429.0,425,4.0
Río Cuarto,Córdoba,277979.0,401,268.0
Tigre,Buenos Aires,446291.0,394,572.0
Capital,Salta,624003.0,388,360.0
Capital,Corrientes,437446.0,384,113.0
General Obligado,Santa Fe,197533.0,377,116.0
Patiño,Formosa,81600.0,376,7.0
Avellaneda,Buenos Aires,366117.0,367,522.0
General San Martín,Buenos Aires,444503.0,364,791.0
Bahía Blanca,Buenos Aires,334505.0,360,282.0
Morón,Buenos Aires,329517.0,357,338.0
Capital,Santiago del Estero,328824.0,351,103.0
San Rafael,Mendoza,213204.0,345,186.0
Formosa,Formosa,268572.0,344,71.0
Florencio Varela,Buenos Aires,488103.0,343,101.0
General López,Santa Fe,200455.0,342,288.0
Pilar,Buenos Aires,393614.0,339,596.0
Berazategui,Buenos Aires,358328.0,335,193.0
San Isidro,Buenos Aires,295978.0,327,935.0
Tres de Febrero,Buenos Aires,362319.0,316,493.0
Dr. Manuel Belgrano,Jujuy,319469.0,316,91.0
Castellanos,Santa Fe,189464.0,311,250.0
Colón,Córdoba,294511.0,306,175.0
Guaymallén,Mendoza,320871.0,304,335.0
San Miguel,Buenos Aires,327650.0,302,99.0
Oberá,Misiones,120703.0,297,84.0
Vicente López,Buenos Aires,280541.0,284,1122.0
